nome;valor;modo;duracao;conclusao;link
O que é Lógica?;Pago;Online;Carga horária deste curso: 5h;Sem Limite;https://www.devmedia.com.br/curso/o-que-e-logica/2392
JavaScript: Projeto completo de eventos astronômicos;Pago;Online;Carga horária deste curso: 10h;Sem Limite;https://www.devmedia.com.br/curso/javascript-projeto-completo-de-eventos-astronomicos/2391
JavaScript: Funções nativas de Array;Pago;Online;Carga horária deste curso: 10h;Sem Limite;https://www.devmedia.com.br/curso/javascript-funcoes-nativas-de-array/2390
JavaScript: Manipulação de string;Pago;Online;Carga horária deste curso: 12h;Sem Limite;https://www.devmedia.com.br/curso/javascript-manipulacao-de-string/2389
JavaScript: Funções nativas de Data;Pago;Online;Carga horária deste curso: 7h;Sem Limite;https://www.devmedia.com.br/curso/javascript-funcoes-nativas-de-data/2388
Vue.js: Formulários;Pago;Online;Carga horária deste curso: 10h;Sem Limite;https://www.devmedia.com.br/curso/vue-js-formularios/2387
HTML: Tags básicas;Pago;Online;Carga horária deste curso: 14h;Sem Limite;https://www.devmedia.com.br/curso/html-tags-basicas/2386
JavaScript: Módulos ;Pago;Online;Carga horária deste curso: 13h;Sem Limite;https://www.devmedia.com.br/curso/javascript-modulos/2385
Algoritmo: O que é algoritmo;Pago;Online;Carga horária deste curso: 8h;Sem Limite;https://www.devmedia.com.br/curso/algoritmo-o-que-e-algoritmo/2384
JavaScript: Funções;Pago;Online;Carga horária deste curso: 14h;Sem Limite;https://www.devmedia.com.br/curso/javascript-funcoes/2383
React Native: Estilizando componentes;Pago;Online;Carga horária deste curso: 13h;Sem Limite;https://www.devmedia.com.br/curso/react-native-estilizando-componentes/2381
React Native: Deploy;Pago;Online;Carga horária deste curso: 9h;Sem Limite;https://www.devmedia.com.br/curso/react-native-deploy/2380
React Native: Stack Navigation;Pago;Online;Carga horária deste curso: 12h;Sem Limite;https://www.devmedia.com.br/curso/react-native-stack-navigation/2379
Flutter: Reaproveitamento de Widgets;Pago;Online;Carga horária deste curso: 11h;Sem Limite;https://www.devmedia.com.br/curso/flutter-reaproveitamento-de-widgets/2378
React Native: Componente TextInput;Pago;Online;Carga horária deste curso: 13h;Sem Limite;https://www.devmedia.com.br/curso/react-native-componente-textinput/2377
React Native: Variáveis de estado;Pago;Online;Carga horária deste curso: 8h;Sem Limite;https://www.devmedia.com.br/curso/react-native-variaveis-de-estado/2376
React: Enviando seu app para a produção;Pago;Online;Carga horária deste curso: 8h;Sem Limite;https://www.devmedia.com.br/curso/react-enviando-seu-app-para-a-producao/2375
React Native: Passando propriedades para um componente com props;Pago;Online;Carga horária deste curso: 8h;Sem Limite;https://www.devmedia.com.br/curso/react-native-passando-propriedades-para-um-componente-com-props/2373
React: Trabalhando com props;Pago;Online;Carga horária deste curso: 8h;Sem Limite;https://www.devmedia.com.br/curso/react-trabalhando-com-props/2374
